                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.80965,                0.67359,                0.91215,                0.83045,                0.83261,                0.87752,                 0.6803,                0.89084,                 0.9761,                  1.044,               0.006997,               0.006997,               0.006997
                     94,                0.80391,                0.65984,                0.91288,                0.85386,                0.82368,                0.88017,                0.67756,                  0.911,                0.94983,                 1.0589,               0.006964,               0.006964,               0.006964
                     95,                0.81111,                0.67207,                0.91541,                0.83046,                0.82958,                0.87792,                0.67586,                0.91089,                0.95262,                 1.0497,               0.006931,               0.006931,               0.006931
                     96,                0.80629,                0.67065,                0.91493,                0.84434,                0.83564,                0.87455,                0.67183,                 0.8999,                0.98944,                 1.0463,               0.006898,               0.006898,               0.006898
                     97,                0.81123,                0.66733,                0.91407,                0.84545,                0.83114,                0.87412,                0.67808,                0.90208,                0.95667,                 1.0541,               0.006865,               0.006865,               0.006865
                     98,                0.80292,                0.67064,                0.91061,                0.85397,                0.81789,                0.87443,                0.67474,                0.89456,                0.95735,                 1.0411,               0.006832,               0.006832,               0.006832
                     99,                0.80306,                0.66172,                0.91262,                0.85016,                0.81806,                 0.8756,                0.67619,                0.88182,                0.95097,                   1.04,               0.006799,               0.006799,               0.006799
                    100,                0.81532,                0.66841,                0.91042,                0.87212,                0.80483,                0.87938,                0.68257,                0.87761,                0.95706,                 1.0279,               0.006766,               0.006766,               0.006766
                    101,                0.80607,                0.65266,                0.91008,                0.86101,                0.81373,                0.87138,                0.68037,                0.89806,                0.94997,                   1.05,               0.006733,               0.006733,               0.006733
                    102,                0.79613,                0.64323,                0.90592,                0.84784,                0.84415,                0.87954,                 0.6771,                0.89194,                0.97976,                 1.0497,                 0.0067,                 0.0067,                 0.0067
                    103,                 0.7994,                0.65083,                0.90671,                0.84292,                0.84539,                 0.8836,                0.68371,                0.91238,                0.94448,                 1.0645,               0.006667,               0.006667,               0.006667
                    104,                0.80314,                0.65107,                0.91021,                0.86804,                0.81782,                0.87675,                0.67975,                0.89387,                0.93128,                 1.0406,               0.006634,               0.006634,               0.006634
                    105,                0.79813,                0.64598,                0.90603,                 0.8693,                0.81595,                0.88081,                0.67942,                0.89613,                0.95527,                 1.0464,               0.006601,               0.006601,               0.006601
                    106,                0.78774,                0.64086,                0.90553,                0.86213,                0.81431,                0.87723,                0.67788,                0.90407,                0.95567,                 1.0489,               0.006568,               0.006568,               0.006568
                    107,                0.79113,                0.64545,                0.90827,                0.86793,                0.81977,                0.88104,                0.68234,                0.88879,                0.91897,                 1.0418,               0.006535,               0.006535,               0.006535
                    108,                0.79518,                0.65431,                0.91091,                0.84351,                0.84119,                0.88284,                0.68212,                0.88246,                0.92527,                 1.0249,               0.006502,               0.006502,               0.006502
                    109,                0.79819,                0.63946,                0.90446,                0.86148,                0.82487,                0.87667,                0.68228,                0.88473,                0.97209,                 1.0296,               0.006469,               0.006469,               0.006469
                    110,                 0.7859,                0.62773,                0.90667,                 0.8653,                0.82093,                0.87464,                0.67472,                0.88638,                0.97044,                 1.0448,               0.006436,               0.006436,               0.006436
                    111,                0.79561,                0.64277,                0.91014,                0.84435,                0.84097,                0.88115,                0.67732,                0.88778,                0.94054,                 1.0329,               0.006403,               0.006403,               0.006403
                    112,                0.79342,                 0.6433,                 0.9098,                0.86885,                0.81062,                0.88174,                0.68125,                0.87765,                0.92377,                  1.036,                0.00637,                0.00637,                0.00637
                    113,                0.79125,                0.63412,                0.90453,                0.84129,                0.83567,                0.87839,                 0.6869,                0.88538,                0.97736,                 1.0341,               0.006337,               0.006337,               0.006337
                    114,                0.78941,                  0.636,                 0.9023,                0.85498,                0.82886,                0.88064,                0.68604,                0.89606,                0.92776,                 1.0433,               0.006304,               0.006304,               0.006304
                    115,                0.78265,                0.62887,                0.90366,                0.86421,                0.81499,                0.87435,                0.68452,                0.88077,                0.92849,                 1.0377,               0.006271,               0.006271,               0.006271
                    116,                0.78406,                0.63337,                0.90565,                 0.8442,                0.83009,                0.87382,                0.67539,                0.88892,                0.99019,                 1.0415,               0.006238,               0.006238,               0.006238
                    117,                0.78097,                0.62949,                0.90319,                0.85848,                 0.8302,                0.87783,                0.68327,                0.88884,                0.99036,                 1.0333,               0.006205,               0.006205,               0.006205
                    118,                0.79348,                0.63464,                 0.9068,                0.85919,                0.82444,                0.88018,                0.68837,                0.87621,                0.97419,                 1.0276,               0.006172,               0.006172,               0.006172
                    119,                0.78281,                0.62199,                0.90513,                0.84247,                0.83073,                0.87533,                0.68406,                0.89091,                0.93615,                 1.0445,               0.006139,               0.006139,               0.006139
                    120,                0.78469,                0.63062,                0.90227,                0.85241,                0.83313,                0.87447,                0.68376,                0.89134,                0.94733,                 1.0404,               0.006106,               0.006106,               0.006106
                    121,                0.77298,                0.61702,                0.90209,                  0.846,                0.84001,                0.88135,                0.68297,                0.88893,                0.94383,                 1.0332,               0.006073,               0.006073,               0.006073
                    122,                0.78145,                0.62007,                0.90315,                0.87039,                0.81165,                0.87034,                0.67062,                0.88855,                0.95803,                 1.0323,                0.00604,                0.00604,                0.00604
                    123,                0.78424,                0.62162,                0.90193,                0.86455,                0.82201,                0.87816,                0.68641,                 0.8726,                0.93755,                 1.0383,               0.006007,               0.006007,               0.006007
                    124,                0.78507,                0.62876,                0.90384,                0.85244,                0.83877,                0.87906,                0.68558,                0.88478,                0.94242,                  1.045,               0.005974,               0.005974,               0.005974
                    125,                0.77195,                0.61333,                 0.9011,                0.85102,                0.83109,                0.87783,                0.68431,                0.88541,                0.95925,                 1.0362,               0.005941,               0.005941,               0.005941
                    126,                0.77194,                 0.6133,                0.90023,                  0.861,                0.83042,                0.87897,                0.68522,                0.86803,                0.95529,                 1.0302,               0.005908,               0.005908,               0.005908
                    127,                0.77362,                0.61725,                0.89952,                0.85151,                 0.8294,                0.87068,                0.67717,                0.87164,                0.96681,                 1.0275,               0.005875,               0.005875,               0.005875
                    128,                0.76922,                0.61675,                0.90093,                0.83395,                0.83829,                0.87253,                0.67985,                0.88691,                0.93631,                 1.0375,               0.005842,               0.005842,               0.005842
                    129,                0.77074,                0.61648,                0.90149,                0.86225,                 0.8234,                0.87986,                0.68425,                0.88768,                0.91943,                 1.0374,               0.005809,               0.005809,               0.005809
                    130,                0.77113,                0.61092,                0.89629,                0.86493,                0.83583,                0.88267,                0.68943,                0.87831,                0.90814,                 1.0373,               0.005776,               0.005776,               0.005776
                    131,                0.76798,                0.61175,                0.90241,                0.87736,                0.81067,                0.88067,                0.69095,                0.87155,                0.92262,                 1.0303,               0.005743,               0.005743,               0.005743
                    132,                 0.7688,                0.60391,                0.89593,                0.85293,                0.84123,                0.88273,                0.69147,                0.88764,                0.94526,                 1.0469,                0.00571,                0.00571,                0.00571
                    133,                0.76533,                0.60501,                0.89785,                0.87155,                0.82447,                0.88155,                 0.6844,                0.88318,                0.92671,                 1.0362,               0.005677,               0.005677,               0.005677
                    134,                0.76273,                0.59813,                 0.8958,                0.84452,                0.84321,                0.88172,                0.69029,                0.87666,                0.91255,                 1.0373,               0.005644,               0.005644,               0.005644
                    135,                0.76685,                0.61052,                0.89838,                0.85648,                0.82362,                0.87512,                 0.6892,                0.86463,                0.97128,                 1.0247,               0.005611,               0.005611,               0.005611
                    136,                0.76096,                0.59536,                 0.8953,                0.85838,                0.82173,                0.87832,                0.69113,                0.86227,                0.94975,                 1.0345,               0.005578,               0.005578,               0.005578
                    137,                0.76571,                  0.601,                0.89583,                0.84344,                0.83391,                0.87827,                0.68883,                0.87636,                0.94219,                  1.034,               0.005545,               0.005545,               0.005545
                    138,                 0.7648,                0.59836,                0.89535,                0.87658,                0.81905,                0.88389,                0.69147,                 0.8826,                0.91344,                 1.0443,               0.005512,               0.005512,               0.005512
                    139,                0.75922,                0.59712,                0.89642,                0.87951,                0.82523,                0.88605,                0.69038,                0.88033,                0.94283,                   1.04,               0.005479,               0.005479,               0.005479
                    140,                0.76484,                 0.5974,                0.89525,                 0.8499,                0.84324,                0.88487,                0.69337,                0.87336,                0.93943,                 1.0324,               0.005446,               0.005446,               0.005446
